r,k,n,D,kappa_sigma1,Sigma1_sq,C1unif,C1unif_bound_sq,C1unif_bound_sq_unclipped,thmC_bound,ITF,checks_all_pass
8,511,2044,17,0.858,3.189875770033256e-11,408030.57199848094,2.5312654476268543e-06,2.5312654476268543e-06,0.003489716970915583,,True
9,1023,4092,17,0.858,3.1903455594940193e-11,816759.5723836264,1.0142400336182384e-05,1.0142400336182384e-05,0.003489716970915583,,True
10,2047,8188,17,0.858,3.1904086622299576e-11,1634217.5731539174,4.060430068542816e-05,4.060430068542816e-05,0.003489716970915583,,True
11,4095,16380,17,0.858,3.19041853320459e-11,3269133.574694499,0.0001624866236724585,0.0001624866236724585,0.003489716970915583,,True
12,8191,32764,17,0.858,3.1904192257934894e-11,6538965.577775664,0.0006500853588006747,0.0006500853588006747,0.003489716970915583,,True
13,16383,65532,17,0.858,3.190419240345121e-11,13078629.58393799,0.002600619185673728,0.002600619185673728,0.003489716970915583,,True
14,32767,131068,17,0.858,3.190419240650858e-11,26157957.59626265,0.010403032265886325,0.010403032265886325,0.003489716970915583,,True
15,65535,262140,17,0.858,3.1904192406572814e-11,52316613.620911956,0.04161324013217745,0.04161324013217745,0.003489716970915583,,True
16,131071,524284,17,0.858,3.1904192406574164e-11,104633925.67021056,0.1664551826882234,0.1664551826882234,0.003489716970915583,,True
